Project: /root/B6_ORCA_campaign
Calculation root: /root/B6_ORCA_campaign/calculations/stage1
ORCA command: /root/ORCA_WORK/software/orca611_clean_test/orca_6_1_1_linux_x86-64_shared_openmpi418_nodmrg/orca
Number of jobs: 252
START 2026-04-30 21:30:14 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 21:31:49 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m1_R2SCAN-3C.inp
START 2026-04-30 21:31:49 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 21:35:28 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m3_R2SCAN-3C.inp
START 2026-04-30 21:35:28 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 21:39:21 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.60_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d1.60_q0_m5_R2SCAN-3C.inp
START 2026-04-30 21:39:21 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 21:41:09 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C.inp
START 2026-04-30 21:41:09 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 21:43:46 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m3_R2SCAN-3C.inp
START 2026-04-30 21:43:46 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 21:47:19 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m5_R2SCAN-3C.inp
START 2026-04-30 21:47:19 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 21:49:37 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C.inp
START 2026-04-30 21:49:37 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 21:53:23 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m3_R2SCAN-3C.inp
START 2026-04-30 21:53:23 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 21:56:05 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m5_R2SCAN-3C.inp
START 2026-04-30 21:56:05 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 21:59:10 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C.inp
START 2026-04-30 21:59:10 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 22:05:28 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m3_R2SCAN-3C.inp
START 2026-04-30 22:05:28 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 22:09:00 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m5_R2SCAN-3C.inp
START 2026-04-30 22:09:00 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 22:13:31 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m1_R2SCAN-3C.inp
START 2026-04-30 22:13:31 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 22:31:23 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C.inp
START 2026-04-30 22:31:23 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 22:40:26 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m5_R2SCAN-3C.inp
START 2026-04-30 22:40:26 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 22:46:07 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m1_R2SCAN-3C.inp
START 2026-04-30 22:46:07 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m3_R2SCAN-3C.inp
DONE  2026-04-30 23:08:45 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m3_R2SCAN-3C.inp
START 2026-04-30 23:08:45 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m5_R2SCAN-3C.inp
DONE  2026-04-30 23:17:33 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.00_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d3.00_q0_m5_R2SCAN-3C.inp
START 2026-04-30 23:17:33 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C.inp
DONE  2026-04-30 23:25:37 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m1_R2SCAN-3C.inp
START 2026-04-30 23:25:37 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C.inp
FAIL  2026-05-01 00:13:31 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C.inp ; inspect /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C.out and /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m3_R2SCAN-3C.err
START 2026-05-01 00:13:31 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 00:33:39 /root/B6_ORCA_campaign/calculations/stage1/B6_compact_planar_triangle_d3.50_q0_m5_R2SCAN-3C/B6_compact_planar_triangle_d3.50_q0_m5_R2SCAN-3C.inp
START 2026-05-01 00:33:39 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 00:34:51 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C.inp
START 2026-05-01 00:34:51 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 00:37:12 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C.inp
START 2026-05-01 00:37:12 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 00:38:28 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C.inp
START 2026-05-01 00:38:28 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m1_R2SCAN-3C/B6_linear_chain_d1.80_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 00:40:24 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m1_R2SCAN-3C/B6_linear_chain_d1.80_q0_m1_R2SCAN-3C.inp
START 2026-05-01 00:40:24 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m3_R2SCAN-3C/B6_linear_chain_d1.80_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 00:44:59 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m3_R2SCAN-3C/B6_linear_chain_d1.80_q0_m3_R2SCAN-3C.inp
START 2026-05-01 00:44:59 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 00:47:36 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C.inp
START 2026-05-01 00:47:36 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m1_R2SCAN-3C/B6_linear_chain_d2.00_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 00:49:56 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m1_R2SCAN-3C/B6_linear_chain_d2.00_q0_m1_R2SCAN-3C.inp
START 2026-05-01 00:49:56 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m3_R2SCAN-3C/B6_linear_chain_d2.00_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 00:56:07 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m3_R2SCAN-3C/B6_linear_chain_d2.00_q0_m3_R2SCAN-3C.inp
START 2026-05-01 00:56:07 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 00:59:32 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C.inp
START 2026-05-01 00:59:32 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m1_R2SCAN-3C/B6_linear_chain_d2.20_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 01:04:11 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m1_R2SCAN-3C/B6_linear_chain_d2.20_q0_m1_R2SCAN-3C.inp
START 2026-05-01 01:04:11 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m3_R2SCAN-3C/B6_linear_chain_d2.20_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 01:13:18 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m3_R2SCAN-3C/B6_linear_chain_d2.20_q0_m3_R2SCAN-3C.inp
START 2026-05-01 01:13:18 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 01:20:23 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C/B6_linear_chain_d2.20_q0_m5_R2SCAN-3C.inp
START 2026-05-01 01:20:23 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 01:27:10 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C.inp
START 2026-05-01 01:27:10 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m3_R2SCAN-3C/B6_linear_chain_d2.50_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 01:37:22 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m3_R2SCAN-3C/B6_linear_chain_d2.50_q0_m3_R2SCAN-3C.inp
START 2026-05-01 01:37:22 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 01:44:35 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C.inp
START 2026-05-01 01:44:35 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 01:55:09 /root/B6_ORCA_campaign/calculations/stage1/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C.inp
