Project: /root/B6_ORCA_campaign
Calculation root: /root/B6_ORCA_campaign/calculations/final
ORCA command: /root/ORCA_WORK/software/orca611_clean_test/orca_6_1_1_linux_x86-64_shared_openmpi418_nodmrg/orca
Number of jobs: 10
START 2026-05-03 12:34:05 /root/B6_ORCA_campaign/calculations/final/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 12:48:28 /root/B6_ORCA_campaign/calculations/final/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 12:48:28 /root/B6_ORCA_campaign/calculations/final/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 13:02:01 /root/B6_ORCA_campaign/calculations/final/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 13:02:01 /root/B6_ORCA_campaign/calculations/final/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 13:16:52 /root/B6_ORCA_campaign/calculations/final/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 13:16:52 /root/B6_ORCA_campaign/calculations/final/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 13:31:15 /root/B6_ORCA_campaign/calculations/final/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 13:31:15 /root/B6_ORCA_campaign/calculations/final/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 13:44:22 /root/B6_ORCA_campaign/calculations/final/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 13:44:22 /root/B6_ORCA_campaign/calculations/final/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 13:56:43 /root/B6_ORCA_campaign/calculations/final/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 13:56:43 /root/B6_ORCA_campaign/calculations/final/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 14:09:23 /root/B6_ORCA_campaign/calculations/final/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 14:09:23 /root/B6_ORCA_campaign/calculations/final/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
DONE  2026-05-03 14:25:15 /root/B6_ORCA_campaign/calculations/final/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
START 2026-05-03 14:25:16 /root/B6_ORCA_campaign/calculations/final/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.inp
