calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file,s2_expected,s2_actual,s2_deviation,zpe_hartree,e_plus_zpe,relative_e_plus_zpe_ev,enthalpy_298_hartree,gibbs_298,relative_gibbs_298_ev,alpha_homo_ev,alpha_lumo_ev,beta_homo_ev,beta_lumo_ev,homo_ev,somo_ev,lumo_ev,homo_lumo_gap_ev
FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,random_3d_seed1000,3.0,0,3,PBE0,def2-TZVP,-148.631808591174,0.00000000,True,True,False,0,233.780000,True,calculations/final/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank02_B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207087,0.207087,0.0199227900,-148.611885801174,0.00018493,-148.6058224300,-148.6397421200,0.01770971,-6.8593,-4.1049,-7.9812,-3.9982,-6.8593,-7.3816;-6.8593,-4.1049,2.7544
FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,random_3d_seed1000,2.2,0,3,PBE0,def2-TZVP,-148.631808572899,0.00000050,True,True,False,0,234.240000,True,calculations/final/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank03_B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207097,0.207097,0.0199254600,-148.611883112899,0.00025808,-148.6058209100,-148.6403925500,0.00001061,-6.8591,-4.1051,-7.9813,-3.9980,-6.8591,-7.3817;-6.8591,-4.1051,2.7540
FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,rhombic_planar,3.5,0,3,PBE0,def2-TZVP,-148.631808437135,0.00000419,True,True,False,0,232.950000,True,calculations/final/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank08_B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207138,0.207138,0.0199158400,-148.611892597135,0.00000000,-148.6058260000,-148.6397525700,0.01742536,-6.8591,-4.1050,-7.9813,-3.9979,-6.8591,-7.3820;-6.8591,-4.1050,2.7541
FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,rhombic_planar,1.6,0,3,PBE0,def2-TZVP,-148.631808352915,0.00000648,True,True,False,0,232.940000,True,calculations/final/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank07_B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207133,0.207133,0.0199159700,-148.611892382915,0.00000583,-148.6058258000,-148.6397523500,0.01743134,-6.8591,-4.1050,-7.9813,-3.9979,-6.8591,-7.3820;-6.8591,-4.1050,2.7541
FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,random_3d_seed1000,2.5,0,3,PBE0,def2-TZVP,-148.631808279344,0.00000849,True,True,False,0,234.040000,True,calculations/final/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank01_B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207069,0.207069,0.0199252300,-148.611883049344,0.00025981,-148.6058205200,-148.6403929400,0.00000000,-6.8593,-4.1049,-7.9813,-3.9981,-6.8593,-7.3815;-6.8593,-4.1049,2.7544
FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,rhombic_planar,1.8,0,3,PBE0,def2-TZVP,-148.631807854760,0.00002004,True,True,False,0,232.880000,True,calculations/final/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank06_B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207090,0.207090,0.0199165100,-148.611891344760,0.00003408,-148.6058248000,-148.6397513600,0.01745828,-6.8592,-4.1048,-7.9813,-3.9980,-6.8592,-7.3818;-6.8592,-4.1048,2.7544
FINAL_rank10_B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,rhombic_planar,3.0,0,3,PBE0,def2-TZVP,-148.631807560673,0.00002804,True,True,False,0,232.840000,True,calculations/final/FINAL_rank10_B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank10_B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank10_B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank10_B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207090,0.207090,0.0199164500,-148.611891110673,0.00004045,-148.6058245000,-148.6397512300,0.01746182,-6.8592,-4.1048,-7.9813,-3.9981,-6.8592,-7.3818;-6.8592,-4.1048,2.7544
FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,rhombic_planar,2.5,0,3,PBE0,def2-TZVP,-148.631807518628,0.00002919,True,True,False,0,232.850000,True,calculations/final/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank09_B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207091,0.207091,0.0199164600,-148.611891058628,0.00004186,-148.6058244600,-148.6397511700,0.01746345,-6.8592,-4.1048,-7.9813,-3.9981,-6.8592,-7.3818;-6.8592,-4.1048,2.7544
FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,planar_ring,2.5,0,3,PBE0,def2-TZVP,-148.631801739118,0.00018645,True,True,False,0,233.060000,True,calculations/final/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank05_B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207113,0.207113,0.0199193900,-148.611882349118,0.00027886,-148.6058178200,-148.6397401800,0.01776250,-6.8592,-4.1051,-7.9813,-3.9981,-6.8592,-7.3818;-6.8592,-4.1051,2.7541
FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq,random_3d_seed1002,3.5,0,3,PBE0,def2-TZVP,-148.631801505515,0.00019281,True,True,False,0,233.660000,True,calculations/final/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq_optimized.xyz,calculations/final/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq/FINAL_rank04_B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_PBE0_def2-TZVP_OptFreq.out,2.000000,2.207093,0.207093,0.0199224300,-148.611879075515,0.00036794,-148.6058153700,-148.6397358300,0.01788087,-6.8591,-4.1048,-7.9813,-3.9980,-6.8591,-7.3818;-6.8591,-4.1048,2.7543
