calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C,random_3d_seed1000,2.5,0,3,R2SCAN-3C,,-148.743347149551,0.00000000,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C,random_3d_seed1000,3.0,0,3,R2SCAN-3C,,-148.743346682833,0.00001270,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C,random_3d_seed1000,2.2,0,3,R2SCAN-3C,,-148.743344753439,0.00006520,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C,random_3d_seed1002,3.5,0,3,R2SCAN-3C,,-148.743339893109,0.00019746,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C.out
B6_planar_ring_d2.50_q0_m3_R2SCAN-3C,planar_ring,2.5,0,3,R2SCAN-3C,,-148.743337426637,0.00026457,True,True,,,,False,calculations/stage1/B6_planar_ring_d2.50_q0_m3_R2SCAN-3C/B6_planar_ring_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d2.50_q0_m3_R2SCAN-3C/B6_planar_ring_d2.50_q0_m3_R2SCAN-3C.out
B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C,rhombic_planar,1.8,0,3,R2SCAN-3C,,-148.743335807896,0.00030862,True,True,,,,False,calculations/stage1/B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C/B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C/B6_rhombic_planar_d1.80_q0_m3_R2SCAN-3C.out
B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C,rhombic_planar,1.6,0,3,R2SCAN-3C,,-148.743335803665,0.00030874,True,True,,,,False,calculations/stage1/B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C/B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C/B6_rhombic_planar_d1.60_q0_m3_R2SCAN-3C.out
B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C,rhombic_planar,3.5,0,3,R2SCAN-3C,,-148.743335803571,0.00030874,True,True,,,,False,calculations/stage1/B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C/B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C/B6_rhombic_planar_d3.50_q0_m3_R2SCAN-3C.out
B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C,rhombic_planar,2.5,0,3,R2SCAN-3C,,-148.743335793150,0.00030902,True,True,,,,False,calculations/stage1/B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m3_R2SCAN-3C.out
B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C,rhombic_planar,3.0,0,3,R2SCAN-3C,,-148.743335774217,0.00030954,True,True,,,,False,calculations/stage1/B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C/B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C/B6_rhombic_planar_d3.00_q0_m3_R2SCAN-3C.out
