calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C,random_3d_seed1000,2.5,0,3,R2SCAN-3C,,-148.743347149551,0.00000000,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C,random_3d_seed1000,3.0,0,3,R2SCAN-3C,,-148.743346682833,0.00001270,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C,random_3d_seed1000,2.2,0,3,R2SCAN-3C,,-148.743344753439,0.00006520,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.20_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C,random_3d_seed1002,3.5,0,3,R2SCAN-3C,,-148.743339893109,0.00019746,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C,random_3d_seed1004,1.6,0,1,R2SCAN-3C,,-148.737100311600,0.16998512,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1003_d2.50_q0_m1_R2SCAN-3C,random_3d_seed1003,2.5,0,1,R2SCAN-3C,,-148.737099279024,0.17001322,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1004_d1.80_q0_m1_R2SCAN-3C,random_3d_seed1004,1.8,0,1,R2SCAN-3C,,-148.737098991816,0.17002103,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d1.80_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.80_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d1.80_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.80_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1004_d2.20_q0_m1_R2SCAN-3C,random_3d_seed1004,2.2,0,1,R2SCAN-3C,,-148.737098042138,0.17004688,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d2.20_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d2.20_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d2.20_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1004_d2.50_q0_m1_R2SCAN-3C,random_3d_seed1004,2.5,0,1,R2SCAN-3C,,-148.737096855554,0.17007916,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d2.50_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1004_d3.00_q0_m1_R2SCAN-3C,random_3d_seed1004,3.0,0,1,R2SCAN-3C,,-148.737094395938,0.17014609,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d3.00_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d3.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d3.00_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d3.00_q0_m1_R2SCAN-3C.out
