group_id,representative,n_hits,representative_multiplicity,multiplicities,delta_e_ev,representative_energy_hartree,geometry_types,representative_xyz_file,representative_output_file
1,B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C,10,3,3:10,0.00000000,-148.743347149551,planar_ring:1;random_3d_seed1000:3;random_3d_seed1002:1;rhombic_planar:5,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m3_R2SCAN-3C.out
2,B6_planar_ring_d2.00_q0_m3_R2SCAN-3C,2,3,3:2,0.15130884,-148.737786652367,planar_ring:2,calculations/stage1/B6_planar_ring_d2.00_q0_m3_R2SCAN-3C/B6_planar_ring_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d2.00_q0_m3_R2SCAN-3C/B6_planar_ring_d2.00_q0_m3_R2SCAN-3C.out
3,B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C,13,1,1:13,0.16998512,-148.737100311600,random_3d_seed1002:4;random_3d_seed1003:2;random_3d_seed1004:6;trigonal_prism:1,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m1_R2SCAN-3C.out
4,B6_rectangular_planar_d3.00_q0_m3_R2SCAN-3C,4,3,3:4,0.40100188,-148.728610602439,random_3d_seed1000:1;rectangular_planar:3,calculations/stage1/B6_rectangular_planar_d3.00_q0_m3_R2SCAN-3C/B6_rectangular_planar_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d3.00_q0_m3_R2SCAN-3C/B6_rectangular_planar_d3.00_q0_m3_R2SCAN-3C.out
5,B6_rectangular_planar_d3.50_q0_m3_R2SCAN-3C,1,3,3:1,0.41850499,-148.727967374712,rectangular_planar:1,calculations/stage1/B6_rectangular_planar_d3.50_q0_m3_R2SCAN-3C/B6_rectangular_planar_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d3.50_q0_m3_R2SCAN-3C/B6_rectangular_planar_d3.50_q0_m3_R2SCAN-3C.out
6,B6_random_3d_seed1004_d3.50_q0_m1_R2SCAN-3C,19,1,1:19,0.69699947,-148.717732891470,planar_ring:2;random_3d_seed1000:7;random_3d_seed1002:3;random_3d_seed1004:1;rectangular_planar:5;trigonal_prism:1,calculations/stage1/B6_random_3d_seed1004_d3.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d3.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1004_d3.50_q0_m1_R2SCAN-3C.out
7,B6_rhombic_planar_d2.00_q0_m3_R2SCAN-3C,2,3,3:2,0.72019386,-148.716880513253,rhombic_planar:2,calculations/stage1/B6_rhombic_planar_d2.00_q0_m3_R2SCAN-3C/B6_rhombic_planar_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d2.00_q0_m3_R2SCAN-3C/B6_rhombic_planar_d2.00_q0_m3_R2SCAN-3C.out
8,B6_planar_ring_d2.50_q0_m1_R2SCAN-3C,1,1,1:1,0.87509235,-148.711188098782,planar_ring:1,calculations/stage1/B6_planar_ring_d2.50_q0_m1_R2SCAN-3C/B6_planar_ring_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d2.50_q0_m1_R2SCAN-3C/B6_planar_ring_d2.50_q0_m1_R2SCAN-3C.out
9,B6_rhombic_planar_d2.50_q0_m1_R2SCAN-3C,7,1,1:7,0.89025074,-148.710631038120,planar_ring:1;rhombic_planar:6,calculations/stage1/B6_rhombic_planar_d2.50_q0_m1_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d2.50_q0_m1_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m1_R2SCAN-3C.out
10,B6_random_3d_seed1004_d3.50_q0_m3_R2SCAN-3C,3,3,3:3,0.91530824,-148.709710192253,random_3d_seed1000:1;random_3d_seed1004:1;trigonal_prism:1,calculations/stage1/B6_random_3d_seed1004_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d3.50_q0_m3_R2SCAN-3C.out
11,B6_rectangular_planar_d1.60_q0_m3_R2SCAN-3C,2,3,3:2,1.11032699,-148.702543385189,rectangular_planar:2,calculations/stage1/B6_rectangular_planar_d1.60_q0_m3_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d1.60_q0_m3_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m3_R2SCAN-3C.out
12,B6_random_3d_seed1002_d2.20_q0_m3_R2SCAN-3C,13,3,3:13,1.16350933,-148.700588970396,random_3d_seed1000:1;random_3d_seed1002:5;random_3d_seed1004:6;trigonal_prism:1,calculations/stage1/B6_random_3d_seed1002_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d2.20_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d2.20_q0_m3_R2SCAN-3C.out
13,B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C,2,3,3:2,1.18873545,-148.699661927371,compact_planar_triangle:2,calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C/B6_compact_planar_triangle_d2.50_q0_m3_R2SCAN-3C.out
14,B6_rhombic_planar_d1.60_q0_m1_R2SCAN-3C,1,1,1:1,1.24692411,-148.697523533753,rhombic_planar:1,calculations/stage1/B6_rhombic_planar_d1.60_q0_m1_R2SCAN-3C/B6_rhombic_planar_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d1.60_q0_m1_R2SCAN-3C/B6_rhombic_planar_d1.60_q0_m1_R2SCAN-3C.out
15,B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C,8,5,5:8,1.27819781,-148.696374246400,random_3d_seed1000:2;random_3d_seed1002:1;rhombic_planar:5,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C.out
16,B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C,23,3,3:23,1.28012715,-148.696303344346,octahedral_3d:7;random_3d_seed1000:1;random_3d_seed1001:7;random_3d_seed1002:1;random_3d_seed1003:7,calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C.out
17,B6_rhombic_planar_d2.50_q0_m5_R2SCAN-3C,1,5,5:1,1.28138081,-148.696257273214,rhombic_planar:1,calculations/stage1/B6_rhombic_planar_d2.50_q0_m5_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d2.50_q0_m5_R2SCAN-3C/B6_rhombic_planar_d2.50_q0_m5_R2SCAN-3C.out
18,B6_rhombic_planar_d3.50_q0_m5_R2SCAN-3C,4,5,5:4,1.30912375,-148.695237739115,rectangular_planar:3;rhombic_planar:1,calculations/stage1/B6_rhombic_planar_d3.50_q0_m5_R2SCAN-3C/B6_rhombic_planar_d3.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rhombic_planar_d3.50_q0_m5_R2SCAN-3C/B6_rhombic_planar_d3.50_q0_m5_R2SCAN-3C.out
19,B6_planar_ring_d3.50_q0_m3_R2SCAN-3C,2,3,3:2,1.42484460,-148.690985076312,compact_planar_triangle:1;planar_ring:1,calculations/stage1/B6_planar_ring_d3.50_q0_m3_R2SCAN-3C/B6_planar_ring_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d3.50_q0_m3_R2SCAN-3C/B6_planar_ring_d3.50_q0_m3_R2SCAN-3C.out
