mode_number,orca_index,frequency_cm-1,atom_index,element,x_angstrom,y_angstrom,z_angstrom,dx,dy,dz,amplitude
1,6,233.780000,1,B,0.96858400,-0.20431000,0.99682400,0.1717890000,0.1448010000,-0.1373830000,0.2633493475
1,6,233.780000,2,B,1.40811300,-1.44347300,0.24014500,-0.3761780000,-0.3170970000,0.3007160000,0.5766198988
1,6,233.780000,3,B,0.20485900,-0.76279700,-0.54788700,0.2043840000,0.1722830000,-0.1633220000,0.3132544129
1,6,233.780000,4,B,-0.20486100,0.76279800,0.54788500,0.2044020000,0.1722970000,-0.1633500000,0.3132884554
1,6,233.780000,5,B,-1.40810400,1.44347500,-0.24014500,-0.3762010000,-0.3170980000,0.3007270000,0.5766411905
1,6,233.780000,6,B,-0.96859100,0.20430800,-0.99682200,0.1718040000,0.1448140000,-0.1373890000,0.2633694104
2,7,319.760000,1,B,0.96858400,-0.20431000,0.99682400,-0.2357360000,-0.1988930000,0.1888530000,0.3616563877
2,7,319.760000,2,B,1.40811300,-1.44347300,0.24014500,0.2109350000,0.1777780000,-0.1685710000,0.3232874473
2,7,319.760000,3,B,0.20485900,-0.76279700,-0.54788700,-0.3357700000,-0.2823690000,0.2685050000,0.5143624015
2,7,319.760000,4,B,-0.20486100,0.76279800,0.54788500,0.3366130000,0.2830700000,-0.2691900000,0.5156551103
2,7,319.760000,5,B,-1.40810400,1.44347500,-0.24014500,-0.2108600000,-0.1777080000,0.1685190000,0.3231729045
2,7,319.760000,6,B,-0.96859100,0.20430800,-0.99682200,0.2348190000,0.1981230000,-0.1881170000,0.3602508731
3,8,329.760000,1,B,0.96858400,-0.20431000,0.99682400,-0.3348670000,-0.2822270000,0.2677420000,0.5132969567
3,8,329.760000,2,B,1.40811300,-1.44347300,0.24014500,0.0184200000,0.0156380000,-0.0148860000,0.0283802121
3,8,329.760000,3,B,0.20485900,-0.76279700,-0.54788700,0.3169290000,0.2669820000,-0.2532720000,0.4856645811
3,8,329.760000,4,B,-0.20486100,0.76279800,0.54788500,0.3160090000,0.2662570000,-0.2525160000,0.4842714202
3,8,329.760000,5,B,-1.40810400,1.44347500,-0.24014500,0.0189920000,0.0161180000,-0.0153400000,0.0292540867
3,8,329.760000,6,B,-0.96859100,0.20430800,-0.99682200,-0.3354820000,-0.2827690000,0.2682720000,0.5142726375
4,9,398.760000,1,B,0.96858400,-0.20431000,0.99682400,-0.2381830000,0.0847250000,-0.2081730000,0.3274835340
4,9,398.760000,2,B,1.40811300,-1.44347300,0.24014500,-0.0378880000,0.0337180000,-0.0124230000,0.0522181482
4,9,398.760000,3,B,0.20485900,-0.76279700,-0.54788700,0.0947660000,-0.4807000000,-0.3872950000,0.6245402323
4,9,398.760000,4,B,-0.20486100,0.76279800,0.54788500,-0.0947750000,0.4806370000,0.3872870000,0.6244881478
4,9,398.760000,5,B,-1.40810400,1.44347500,-0.24014500,0.0378470000,-0.0336950000,0.0124120000,0.0521709323
4,9,398.760000,6,B,-0.96859100,0.20430800,-0.99682200,0.2382330000,-0.0846860000,0.2081920000,0.3275218920
5,10,516.970000,1,B,0.96858400,-0.20431000,0.99682400,0.0932090000,0.1624620000,0.2877400000,0.3433309289
5,10,516.970000,2,B,1.40811300,-1.44347300,0.24014500,-0.1454160000,0.2421190000,0.0734910000,0.2918361703
5,10,516.970000,3,B,0.20485900,-0.76279700,-0.54788700,0.0522470000,-0.4045910000,-0.3612000000,0.5448752759
5,10,516.970000,4,B,-0.20486100,0.76279800,0.54788500,0.0522210000,-0.4046440000,-0.3612650000,0.5449552273
5,10,516.970000,5,B,-1.40810400,1.44347500,-0.24014500,-0.1454530000,0.2421680000,0.0734810000,0.2918927419
5,10,516.970000,6,B,-0.96859100,0.20430800,-0.99682200,0.0931910000,0.1624850000,0.2877540000,0.3433486599
6,11,537.830000,1,B,0.96858400,-0.20431000,0.99682400,0.1354560000,0.1837740000,0.3631730000,0.4289706738
6,11,537.830000,2,B,1.40811300,-1.44347300,0.24014500,-0.3459630000,0.3102990000,-0.1056410000,0.4765877544
6,11,537.830000,3,B,0.20485900,-0.76279700,-0.54788700,-0.1897740000,0.0074650000,-0.2298460000,0.2981594892
