file,description
Figure_10_B6_vibrational_frequencies.png,Figure 10. Bar chart of all 12 non-zero B6 vibrational frequencies.
Figure_10_B6_vibrational_frequencies.svg,Figure 10. Bar chart of all 12 non-zero B6 vibrational frequencies.
Figure_11_B6_max_amplitude_by_mode.png,Figure 11. Maximum normal-mode displacement amplitude by mode.
Figure_11_B6_max_amplitude_by_mode.svg,Figure 11. Maximum normal-mode displacement amplitude by mode.
Figure_12_B6_frequency_vs_amplitude.png,Figure 12. Scatter plot of frequency versus maximum normal-mode amplitude.
Figure_12_B6_frequency_vs_amplitude.svg,Figure 12. Scatter plot of frequency versus maximum normal-mode amplitude.
Figure_13_B6_atom_participation_heatmap.png,Figure 13. Atom participation heatmap by normal mode.
Figure_13_B6_atom_participation_heatmap.svg,Figure 13. Atom participation heatmap by normal mode.
Figure_14_B6_dominant_atom_by_mode.png,Figure 14. Dominant atom index by normal mode.
Figure_14_B6_dominant_atom_by_mode.svg,Figure 14. Dominant atom index by normal mode.
Figure_15_B6_frequency_distribution.png,Figure 15. Histogram of B6 vibrational frequency distribution.
Figure_15_B6_frequency_distribution.svg,Figure 15. Histogram of B6 vibrational frequency distribution.
Figure_16_final_relative_energies_labeled.png,Figure 16. Final relative energies with best_B6 marker and multiplicity labels.
Figure_16_final_relative_energies_labeled.svg,Figure 16. Final relative energies with best_B6 marker and multiplicity labels.
Figure_17_screening_success_rate.png,Figure 17. Screening success/fail summary.
Figure_17_screening_success_rate.svg,Figure 17. Screening success/fail summary.
Figure_18_B6_vibrational_spectrogram.png,Figure 18. Gaussian-broadened 2D spectrogram of B6 vibrational frequencies.
Figure_18_B6_vibrational_spectrogram.svg,Figure 18. Gaussian-broadened 2D spectrogram of B6 vibrational frequencies.
Figure_19_B6_broadened_vibrational_spectrum.png,Figure 19. Summed Gaussian-broadened B6 vibrational spectrum.
Figure_19_B6_broadened_vibrational_spectrum.svg,Figure 19. Summed Gaussian-broadened B6 vibrational spectrum.
B6_vibrational_spectrum_lines.png,Supplementary line-spectrum representation of B6 vibrational frequencies.
B6_vibrational_spectrum_lines.svg,Supplementary line-spectrum representation of B6 vibrational frequencies.
